assetId,name,VIN/PIN
216049,D220X300: 122,1VRD370C5E1000122
216050,D24X40II: 4132,1VRZ19037E1004132
216051,HG4000: 181,1VRC312H8E1000181
216052,D36X50II: 3089,1VR4230D9E1003089
216053,D24X40II: 4131,1VRZ19035E1004131
216054,D36X50II: 3088,1VR4230D7E1003088
216055,D24X40II: 4130,1VRZ19033E1004130
216056,D24X40II: 4129,1VRZ19037E1004129
216057,D36X50II: 3087,1VR4230D5E1003087
216058,D36X50II: 3086,1VR4230D3E1003086
216059,D220X300: 121,1VRD370C3E1000121
216060,D24X40II: 4128,1VRZ19035E1004128
216061,D36X50II: 3085,1VR4230D1E1003085
216062,D24X40II: 4127,1VRZ19033E1004127
216063,D24X40II: 4126,1VRZ19031E1004126
216064,D36X50II: 3084,1VR4230DXE1003084
216065,TG9000: 206,1VRY43484E1000206
216066,D24X40II: 4125,1VRZ1903XE1004125
216067,PD10: 1045,1VRB100Z6E1001045
216068,D24X40II: 4124,1VRZ19038E1004124
216069,D24X40II: 4108,1VRZ1903XE1004108
216070,D24X40II: 4123,1VRZ19036E1004123
216071,D36X50II: 3083,1VR4230D8E1003083
216072,D24X40II: 4122,1VRZ19034E1004122
216073,D36X50II: 3082,1VR4230D6E1003082
216074,D24X40II: 4121,1VRZ19032E1004121
216075,D24X40II: 4120,1VRZ19030E1004120
216076,D36X50II: 3081,1VR4230D4E1003081
216077,D24X40II: 4119,1VRZ19034E1004119
216078,D36X50II: 3080,1VR4230D2E1003080
216079,D24X40II: 4118,1VRZ19032E1004118
216080,D36X50II: 3079,1VR4230D6E1003079
216081,D24X40II: 4133,1VRZ19039E1004133
216082,D36X50II: 3090,1VR4230D5E1003090
216083,D24X40II: 4134,1VRZ19030E1004134
216084,D24X40II: 4135,1VRZ19032E1004135
216085,D36X50II: 3091,1VR4230D7E1003091
216086,PD10: 1046,1VRB100Z8E1001046
216087,D24X40II: 4136,1VRZ19034E1004136
216088,D36X50II: 3092,1VR4230D9E1003092
216089,D36X50II: 3093,1VR4230D9F1003093
216090,D220X300: 123,1VRD370C5F1000123
216091,D24X40II: 4140,1VRZ19034F1004140
216092,D36X50II: 3094,1VR4230D0F1003094
216093,D24X40II: 4141,1VRZ19036F1004141
216094,D36X50II: 3095,1VR4230D2F1003095
216095,D36X50II: 3096,1VR4230D4F1003096
216096,D36X50II: 3097,1VR4230D6F1003097
216097,HG4000: 182,1VRC312HXE1000182
216098,D24X40II: 4142,1VRZ19038F1004142
216099,D24X40II: 4143,1VRZ1903XF1004143
216100,D36X50II: 3106,1VR4230D3F1003106
216101,D24X40II: 4157,1VRZ1903XF1004157
216102,D36X50II: 3105,1VR4230D1F1003105
216103,D24X40II: 4156,1VRZ19038F1004156
216104,HG4000: 1001,1VRC312H7E1001001
216105,D24X40II: 4155,1VRZ19036F1004155
216106,D36X50II: 3104,1VR4230DXF1003104
216107,HG4000: 183,1VRC312H1E1000183
216108,D24X40II: 4154,1VRZ19034F1004154
216109,D24X40II: 4153,1VRZ19032F1004153
216110,D24X40II: 4152,1VRZ19030F1004152
216111,D220X300: 125,1VRD370C9F1000125
216112,D24X40II: 4151,1VRZ19039F1004151
216113,D36X50II: 3103,1VR4230D8F1003103
216114,D24X40II: 4150,1VRZ19037F1004150
216115,D24X40II: 4149,1VRZ19030F1004149
216116,D36X50II: 3102,1VR4230D6F1003102
216117,D36X50II: 3101,1VR4230D4F1003101
216118,D24X40II: 4137,1VRZ19036E1004137
216119,D24X40II: 4148,1VRZ19039F1004148
216120,D24X40II: 4146,1VRZ19035F1004146
216121,D24X40II: 4138,1VRZ19036F1004138
216122,D24X40II: 4147,1VRZ19037F1004147
216123,D24X40II: 4144,1VRZ19031F1004144
216124,D36X50II: 3099,1VR4230DXF1003099
216125,D24X40II: 4145,1VRZ19033F1004145
216126,D36X50II: 3100,1VR4230D2F1003100
216127,PD10: 1047,1VRB100Z8F1001047
216128,D24X40II: 4139,1VRZ19038F1004139
216129,D36X50II: 3098,1VR4230D8F1003098
216130,D220X300: 124,1VRD370C7F1000124
216131,D100X140S3: 106,1VRB360W0F1000106
216132,D24X40II: 4117,1VRZ19030E1004117
216133,PD10: 1044,1VRB100Z4E1001044
216134,D36X50II: 3078,1VR4230D4E1003078
216135,D24X40II: 4116,1VRZ19039E1004116
216136,D36X50II: 3077,1VR4230D2E1003077
216137,D220X300: 120,1VRD370C1E1000120
216138,D24X40II: 4115,1VRZ19037E1004115
216139,D100X140S3: 104,1VRB360W9E1000104
216140,D24X40II: 4114,1VRZ19035E1004114
216141,D24X40II: 4113,1VRZ19033E1004113
216142,D36X50II: 3076,1VR4200D2E1003076
216143,D24X40II: 4112,1VRZ19031E1004112
216144,D36X50II: 3075,1VR4200D0E1003075
216145,D36X50II: 3074,1VR4200D9E1003074
216146,D24X40II: 4111,1VRZ1903XE1004111
216147,D36X50II: 3073,1VR4200D7E1003073
216148,D24X40II: 4110,1VRZ19038E1004110
216149,D36X50II: 3072,1VR4200D5E1003072
216150,PD10: 1043,1VRB100Z2E1001043
216151,D24X40II: 4109,1VRZ19031E1004109
216152,D220X300: 119,1VRD370C5E1000119
216153,D24X40II: 4107,1VRZ19038E1004107
216154,D24X40II: 4106,1VRZ19036E1004106
216155,HG4000: 180,1VRC312H6E1000180
216156,D24X40II: 4105,1VRZ19034E1004105
216157,HG4000: 179,1VRC312HXE1000179
216158,D24X40II: 4104,1VRZ19032E1004104
